date,time 9:00,time 10:00,time 11:00,time 12:00,time 13:00,time 14:00,time 15:00,time 16:00,time 17:00
2,09-10-2023,available,not available,available,available,available,not available,not available,not available
3,09-11-2023,available,available,not available,available,available,not available,available,available
4,09-12-2023,available,available,available,available,available,available,not available,available
5,09/13/2023,available,not available,not available,available,not available,available,not available,available
6,09/14/2023,not available,available,available,not available,available,available,available,available
7,09/15/2023,available,not available,available,available,available,not available,available,available
8,09/16/2023,not available,available,not available,not available,not available,available,not available,available
9,09/17/2023,available,not available,not available,available,not available,not available,not available,available
10,09/18/2023,available,not available,not available,available,available,available,not available,not available
11,09/19/2023,available,available,available,available,not available,not available,not available,not available
12,09/20/2023,not available,not available,available,not available,available,not available,not available,not available
13,09/21/2023,available,available,not available,available,not available,available,not available,not available
14,09/22/2023,available,not available,available,available,available,available,not available,not available
15,09/23/2023,available,not available,not available,available,not available,available,available,not available
16,09/24/2023,available,available,not available,available,available,available,available,available
17,09/25/2023,not available,available,available,not available,not available,not available,available,available
18,09/27/2023,not available,not available,available,not available,not available,available,available,available
19,09/28/2023,available,not available,available,available,available,not available,not available,not available
20,09/29/2023,available,available,available,available,not available,available,available,available
21,09/30/2023,available,not available,not available,available,not available,not available,available,not available
